"ID","nadconVersion","vertconVersion","srcDatum","destDatum","srcVertDatum","destVertDatum","srcLat","srcLatDms","destLat","destLatDms","srcLon","srcLonDms","destLon","destLonDms","srcEht","destEht","srcOrthht","destOrthoht","sigLat","sigLon","sigLat_m","sigLon_m","sigEht","sigOrthoht","deltaLat","deltaLon","spcZone","spcNorthing_m","spcEasting_m","spcNorthing_usft","spcEasting_usft","spcNorthing_ift","spcEasting_ift","spcConvergence","spcScaleFactor","spcCombinedFactor","utmZone","utmNorthing","utmEasting","utmConvergence","utmScaleFactor","utmCombinedFactor","x","y","z","usng"
"1","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.4906230000","N362926.24280","36.4906230000","N362926.24280","-32.9739170000","W0325826.10120","-32.9739170000","W0325826.10120","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","UTM Zone 25","4,038,368.266","502,336.152","00 00 55.84","0.99960007","N/A","N/A","N/A","N/A","25SEA0233638368"
"2","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","36.4199300000","N362511.74800","36.4199300000","N362511.74800","-23.7124430000","W0234244.79480","-23.7124430000","W0234244.79480","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","UTM Zone 27","4,033,945.539","256,809.549","-01 36 40.19","1.00032873","N/A","N/A","N/A","N/A","27STA5680933945"
"3","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.3033840000","N401812.18240","40.3033840000","N401812.18240","-23.6904710000","W0234125.69560","-23.6904710000","W0234125.69560","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","UTM Zone 27","4,464,904.667","271,347.918","-01 44 27.76","1.00024362","N/A","N/A","N/A","N/A","27TTE7134764904"
"4","5.0","3.0","NAD83(2011)","NAD83(2011)","NAVD88","NAVD88","40.4122170000","N402443.98120","40.4122170000","N402443.98120","-32.9739170000","W0325826.10120","-32.9739170000","W0325826.10120","N/A","N/A","N/A","N/A","0.000000","0.000000","0.0000","0.0000","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","UTM Zone 25","4,473,511.234","502,212.991","00 01 00.87","0.99960006","N/A","N/A","N/A","N/A","25TEE0221273511"
